id,Data_Zone,Intermediate_Zone,Council_area,Total_population,Working_age_population_revised,Income_rate,Income_count,Employment_rate,Employment_count,CIF,ALCOHOL,DRUG,SMR,DEPRESS,LBWT,EMERG,Attendance,Attainment,Noquals,NEET,HESA,drive_petrol,drive_GP,drive_PO,drive_primary,drive_retail,drive_secondary,PT_GP,PT_Post,PT_retail,crime_count,crime_rate,overcrowded_count,nocentralheat_count,overcrowded_rate,nocentralheat_rate
1,S01008417,Balerno and Bonnington Village,City of Edinburgh,726,424,0.05,35,0.03,15,35,18.35396926,0,73,0.133608815,0.0625,56.82967034,0.917808219,6.2962963,27.84494339,0,0.19047619,3.413901483,6.990953885,3.954831238,4.381610512,4.353393133,4.35143938,18.44997229,11.60820233,12.0354615,12.00563498,165.366873,17,8,0.023415978,0.011019284
2,S01008418,Balerno and Bonnington Village,City of Edinburgh,710,397,0.01,10,0.02,10,35,91.97139782,0,55,0.138028169,0,70.38964159,0.946428571,5.80769231,23.60349052,0.04,0.15151515,3.798260956,7.085644044,2.801383702,2.995124277,3.304062718,5.088534969,16.79438595,9.184797501,9.49320089,10.00469582,140.9112087,7,10,0.010115607,0.014450867
3,S01008419,Balerno and Bonnington Village,City of Edinburgh,526,326,0.04,25,0.05,15,55,86.31482271,0,63,0.104562738,0,92.34792066,0.957671958,5.5,33.86918688,0.07,0.27272727,2.721766267,5.911821648,1.62116666,2.354256362,2.0000612,3.239340101,16.06255269,7.229047658,7.489276224,9.004226234,171.1830083,30,0,0.06,0
4,S01008420,Balerno and Bonnington Village,City of Edinburgh,488,287,0.04,20,0.03,5,35,0,0,67,0.143442623,0.055555556,78.5646451,0.942028986,5.8,30.03334727,0.02,0.14942529,2.514449241,5.941545959,1.627557781,1.412278984,1.999731173,3.357227987,13.71893915,4.72286769,4.959663878,4.001878326,82.00570341,2,0,0.004201681,0
5,S01008421,Balerno and Bonnington Village,City of Edinburgh,885,543,0.12,110,0.09,45,95,109.8496286,63.33102143,109,0.185310734,0.024390244,100.7501062,0.89298893,5.16,87.80124792,0.06,0.08870968,1.399180116,5.391718731,1.876826923,1.884303771,2.265542777,2.830599677,14.6923252,6.992179549,7.228869418,12.00563498,135.6568924,61,6,0.071095571,0.006993007
6,S01008422,Balerno and Bonnington Village,City of Edinburgh,622,346,0.01,10,0.02,5,25,15.30089765,0,54,0.13022508,0,70.50677552,0.994818653,6.26666667,11.49136684,0.02,0.18627451,2.133649554,5.703687512,2.668091784,4.363211534,3.067074514,3.06004333,12.83499997,7.384565245,7.847439617,9.004226234,144.7624796,17,4,0.027375201,0.006441224
7,S01008423,Balerno and Bonnington Village,City of Edinburgh,1070,650,0.02,20,0.02,15,30,52.13564918,131.5682608,63,0.11588785,0,66.57577621,0.945402299,5.82926829,30.93990066,0.03,0.2295082,3.507549496,4.851244087,3.195388054,4.557142464,4.118018657,3.56338578,14.82177322,7.881354615,11.02363118,18.00845247,168.3032941,27,3,0.025399812,0.002822201
8,S01008424,Balerno and Bonnington Village,City of Edinburgh,818,421,0.01,10,0.03,15,30,16.46837283,0,66,0.116136919,0,49.47154382,0.901960784,6.4,25.51798962,0.05,0.22608696,3.365426362,3.629965421,3.307577888,3.822629138,3.918868735,3.510188504,11.07197004,8.504628921,10.83625759,6.002817489,73.38407689,9,3,0.010778443,0.003592814
9,S01008425,Currie West,City of Edinburgh,3302,2917,0.01,35,0.01,20,20,20.85077966,0,81,0.062386432,0,42.74383997,0.939516129,6.10714286,39.4825738,0,0.08673768,4.130048873,3.143041198,4.160647137,2.688423805,4.57721613,3.650645717,9.390929187,11.67277183,17.99986111,19.00892205,57.56790445,31,8,0.032460733,0.008376963
10,S01008426,Currie West,City of Edinburgh,564,311,0.09,50,0.13,40,100,136.4532718,61.43636847,85,0.232269504,0,117.3136286,0.878205128,5.44,105.445963,0.03,0.0625,3.319277086,1.559163231,2.154236465,1.535017822,5.514489895,3.190706519,5.72003493,6.826396128,13.4890489,9.004226234,159.6494013,43,6,0.07504363,0.010471204
