CIF,ALCOHOL,DRUG,SMR,DEPRESS,LBWT,EMERG
35,18.35396926,0,73,0.133608815,0.0625,56.82967034
35,91.97139782,0,55,0.138028169,0,70.38964159
55,86.31482271,0,63,0.104562738,0,92.34792066
35,0,0,67,0.143442623,0.055555556,78.5646451
95,109.8496286,63.33102143,109,0.185310734,0.024390244,100.7501062
25,15.30089765,0,54,0.13022508,0,70.50677552
30,52.13564918,131.5682608,63,0.11588785,0,66.57577621
30,16.46837283,0,66,0.116136919,0,49.47154382
20,20.85077966,0,81,0.062386432,0,42.74383997
100,136.4532718,61.43636847,85,0.232269504,0,117.3136286
35,16.78790433,25.02651161,72,0.126605505,0,60.25310592
75,50.13018043,46.59490787,110,0.157584683,0,100.3684215
45,21.83137965,0,70,0.136094675,0,62.80258863
60,40.98350018,47.42552143,69,0.14600551,0,81.22669375
55,10.79647848,82.40189544,54,0.149643705,0.052631579,52.50957448
35,6.630255052,0,43,0.132681564,0,64.44099552
35,5.367791549,0,78,0.135757576,0,65.51284328
25,28.06839446,0,67,0.143774069,0,83.60782958
30,22.87253733,0,103,0.15,0.117647059,57.45362674
50,10.45231406,0,84,0.136131013,0,57.17472929
75,64.73810265,44.25324124,50,0.165075034,0,83.03452391
25,28.69592362,63.65399002,61,0.126849894,0,71.56736223
25,21.54612687,0,53,0.106179286,0,51.18724792
30,41.91806429,0,64,0.109602328,0.041666667,56.23694325
35,9.92755448,0,93,0.102083333,0,50.79452345
20,7.127786998,0,56,0.135338346,0.029411765,50.29127154
20,15.39536185,64.31180394,52,0.099159664,0.0625,53.91253056
30,23.78251923,0,53,0.112714157,0.027027027,61.67886713
75,61.38673939,51.96394104,70,0.099342586,0.02173913,84.34375006
25,15.39113047,0,46,0.076007326,0,49.6676717
30,31.75152487,0,52,0.10181311,0.052631579,55.67259702
40,5.79217953,0,53,0.125974026,0.047619048,57.52482642
145,139.0944413,240.7931946,123,0.190930788,0.050847458,121.4209587
125,107.0440037,206.5068882,124,0.206790123,0.078431373,122.7020323
260,174.4938619,686.0967344,241,0.221467391,0.079365079,130.6410073
220,484.6481395,555.7338158,173,0.18597561,0.103448276,149.5145388
50,139.427661,135.9853028,133,0.124161074,0.069767442,114.0756936
215,158.4862654,0,67,0.205479452,0.06779661,115.922516
160,167.7192521,229.3198587,137,0.203356367,0.077922078,118.0112086
230,398.1095864,361.7304451,197,0.233502538,0.02739726,147.9430848
185,328.7603307,256.3467195,109,0.247877759,0.103448276,133.7758992
95,119.1233553,194.5584188,113,0.187311178,0.068181818,99.5300572
215,84.72866368,293.0588522,122,0.218421053,0.074626866,148.4746663
220,227.8828263,396.2948735,162,0.183150183,0.102941176,143.6296343
190,209.638024,487.6294823,159,0.219088937,0.06779661,134.9658454
215,315.9010102,302.9471351,172,0.29137931,0.111111111,150.063497
190,128.4131742,472.8845449,158,0.210826211,0.03125,125.0076362
60,18.7524373,63.10485301,88,0.166863905,0.025641026,90.85616191
75,51.30921603,0,120,0.165986395,0.076923077,98.44201147
85,101.5735563,76.83499913,53,0.186544343,0.048780488,95.81902721
75,37.36307277,108.3938232,100,0.152985075,0,95.61157683
