Income_count,Employment_count,CIF,ALCOHOL,DEPRESS,EMERG,Attendance,Attainment,Noquals,NEET,PT_GP,PT_Post,PT_retail,crime_count,overcrowded_count,nocentralheat_count
35,15,35,18.35396926,0.133608815,56.82967034,0.917808219,6.2962963,27.84494339,0,18.44997229,11.60820233,12.0354615,12.00563498,17,8
10,10,35,91.97139782,0.138028169,70.38964159,0.946428571,5.80769231,23.60349052,0.04,16.79438595,9.184797501,9.49320089,10.00469582,7,10
25,15,55,86.31482271,0.104562738,92.34792066,0.957671958,5.5,33.86918688,0.07,16.06255269,7.229047658,7.489276224,9.004226234,30,0
20,5,35,0,0.143442623,78.5646451,0.942028986,5.8,30.03334727,0.02,13.71893915,4.72286769,4.959663878,4.001878326,2,0
110,45,95,109.8496286,0.185310734,100.7501062,0.89298893,5.16,87.80124792,0.06,14.6923252,6.992179549,7.228869418,12.00563498,61,6
10,5,25,15.30089765,0.13022508,70.50677552,0.994818653,6.26666667,11.49136684,0.02,12.83499997,7.384565245,7.847439617,9.004226234,17,4
20,15,30,52.13564918,0.11588785,66.57577621,0.945402299,5.82926829,30.93990066,0.03,14.82177322,7.881354615,11.02363118,18.00845247,27,3
10,15,30,16.46837283,0.116136919,49.47154382,0.901960784,6.4,25.51798962,0.05,11.07197004,8.504628921,10.83625759,6.002817489,9,3
35,20,20,20.85077966,0.062386432,42.74383997,0.939516129,6.10714286,39.4825738,0,9.390929187,11.67277183,17.99986111,19.00892205,31,8
50,40,100,136.4532718,0.232269504,117.3136286,0.878205128,5.44,105.445963,0.03,5.72003493,6.826396128,13.4890489,9.004226234,43,6
15,15,35,16.78790433,0.126605505,60.25310592,0.956228956,5.96551724,35.51118537,0.01,15.25156828,14.51084744,21.7703395,10.00469582,48,4
70,30,75,50.13018043,0.157584683,100.3684215,0.840659341,5.52631579,109.6163052,0.04,6.805110895,5.593838857,9.200906055,3.001408745,61,4
10,20,45,21.83137965,0.136094675,62.80258863,0.940639269,6,39.27445756,0.01,6.557972691,4.27677766,12.32519322,10.00469582,25,6
45,30,60,40.98350018,0.14600551,81.22669375,0.953367876,5.5,36.71476528,0.06,6.286831914,5.232747778,11.36275892,19.00892205,66,9
35,25,55,10.79647848,0.149643705,52.50957448,0.939393939,6,41.53892869,0.02,11.22265424,9.175973983,15.83434985,3.001408745,40,3
20,5,35,6.630255052,0.132681564,64.44099552,0.942528736,5.77272727,38.53259534,0.03,10.60388724,7.904622016,14.54001797,21.00986121,26,2
15,10,35,5.367791549,0.135757576,65.51284328,0.926174497,5.79166667,49.96417953,0.01,13.32387241,11.81731103,12.53160471,15.00704372,21,9
15,5,25,28.06839446,0.143774069,83.60782958,0.874439462,5.76,47.09169521,0.07,11.97883277,11.41043065,12.22622349,16.0075133,28,18
5,10,30,22.87253733,0.15,57.45362674,0.9,5.92,41.70915018,0.01,9.976240255,10.44414493,12.48451698,24.01126996,27,5
30,25,50,10.45231406,0.136131013,57.17472929,0.943877551,6.17647059,33.21999395,0.01,8.663985603,6.585614972,12.29663516,12.00563498,25,2
35,30,75,64.73810265,0.165075034,83.03452391,0.858156028,6.73333333,37.88203031,0,7.774866216,4.969521094,11.60469722,8.003756652,55,12
